integrand,d,N,mc_mean_err,mc_std_err,mc_mean_time,qmc_err,qmc_time
A,15,1024,4.379051e-05,2.880832e-05,7.520283e-05,9.221630e-04,2.866700e-05
A,15,2048,3.480425e-05,2.137691e-05,1.451528e-04,4.578168e-04,6.199999e-05
A,15,4096,2.074870e-05,1.620505e-05,2.871223e-04,2.232903e-04,1.642920e-04
A,15,8192,1.440894e-05,1.054043e-05,5.853069e-04,1.094115e-04,3.249590e-04
A,15,16384,1.046856e-05,7.016584e-06,1.219496e-03,5.092268e-05,6.896250e-04
A,15,32768,7.377107e-06,4.681310e-06,2.448657e-03,2.514597e-05,1.506875e-03
A,20,128,1.877677e-05,9.273440e-06,1.637217e-05,7.787913e-03,1.141700e-05
A,20,256,1.019431e-05,7.866263e-06,2.693473e-05,3.890717e-03,1.387500e-05
A,20,512,5.574398e-06,3.835815e-06,5.018064e-05,1.942157e-03,3.087499e-05
A,20,1024,4.874224e-06,4.441090e-06,9.552237e-05,9.672942e-04,3.229201e-05
A,20,2048,4.213024e-06,2.692565e-06,1.867806e-04,4.828832e-04,6.650000e-05
A,20,4096,2.891280e-06,2.186130e-06,3.680196e-04,2.400646e-04,1.348330e-04
A,20,8192,2.067139e-06,1.219215e-06,7.530097e-04,1.197311e-04,2.501250e-04
A,20,16384,1.322420e-06,9.645493e-07,1.544624e-03,5.944720e-05,5.811670e-04
A,20,32768,8.905973e-07,6.349073e-07,3.109179e-03,2.958943e-05,2.093875e-03
B,5,128,8.256652e-03,6.954505e-03,1.141250e-05,3.370662e-03,1.337500e-05
B,5,256,3.904779e-03,2.797832e-03,1.520690e-05,1.613356e-03,1.525000e-05
B,5,512,3.390926e-03,2.805581e-03,2.664720e-05,6.479234e-04,2.058400e-05
B,5,1024,2.238371e-03,1.923678e-03,9.848600e-05,2.666993e-04,3.137499e-05
B,5,2048,1.145103e-03,9.366712e-04,1.261401e-04,1.496143e-04,8.862501e-05
B,5,4096,1.444763e-03,8.628142e-04,1.506639e-04,8.004306e-05,8.729100e-05
B,5,8192,1.071862e-03,7.237134e-04,2.997083e-04,3.523744e-05,1.556670e-04
B,5,16384,6.628124e-04,3.549936e-04,5.944542e-04,1.610636e-05,3.257500e-04
B,5,32768,4.107788e-04,2.871305e-04,1.217065e-03,8.980772e-06,6.900000e-04
B,10,128,2.803087e-04,2.332075e-04,1.396807e-05,7.288299e-03,1.616600e-05
B,10,256,2.436140e-04,2.153443e-04,2.106823e-05,3.500112e-03,2.108300e-05
B,10,512,1.748604e-04,1.624980e-04,3.608340e-05,1.619613e-03,3.279200e-05
B,10,1024,1.131255e-04,8.145583e-05,6.497923e-05,8.155217e-04,3.545800e-05
B,10,2048,8.090746e-05,6.594479e-05,1.220334e-04,3.965994e-04,5.895800e-05
B,10,4096,5.478850e-05,3.813130e-05,2.504238e-04,1.824506e-04,1.650410e-04
B,10,8192,3.873792e-05,3.744978e-05,5.011152e-04,7.741823e-05,2.339590e-04
B,10,16384,3.030680e-05,1.785638e-05,1.058264e-03,3.683631e-05,5.050840e-04
B,10,32768,1.927590e-05,1.634625e-05,2.248843e-03,1.936942e-05,1.530875e-03
B,15,128,3.615874e-06,3.066873e-06,1.722503e-05,7.806248e-03,1.525000e-05
B,15,256,3.268888e-06,4.212186e-06,2.824457e-05,3.903338e-03,1.870900e-05
B,15,512,3.012440e-06,1.892095e-06,4.958060e-05,1.950963e-03,4.045901e-05
B,15,1024,2.414773e-06,3.755536e-06,9.147507e-05,9.737586e-04,4.583300e-05
B,15,2048,2.177461e-06,3.110665e-06,1.748570e-04,4.859014e-04,7.600000e-05
B,15,4096,1.254145e-06,6.839833e-07,3.681696e-04,2.423477e-04,1.577500e-04
B,15,8192,7.879943e-07,5.884907e-07,7.689918e-04,1.211137e-04,3.524590e-04
B,15,16384,6.285399e-07,4.382014e-07,1.665838e-03,6.020089e-05,8.869590e-04
